q_id,question,choices,pct_voters,Trump,Biden,state
1,"Do you describe yourself as a man, a woman, or in some other way?",Men,0.46,66,32,alabama
1,"Do you describe yourself as a man, a woman, or in some other way?",Women,0.53,59,40,alabama
1,"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0.01,,,alabama
2,What is your age?,18-29,0.12,52,45,alabama
2,What is your age?,30-44,0.21,57,40,alabama
2,What is your age?,45-64,0.38,63,36,alabama
2,What is your age?,65+,0.29,69,30,alabama
3,Which best describes your level of education?,High school or less,0.33,66,33,alabama
3,Which best describes your level of education?,"Some college, or associate degree",0.36,63,36,alabama
3,Which best describes your level of education?,College graduate,0.2,58,39,alabama
3,Which best describes your level of education?,Postgraduate study,0.11,53,44,alabama
4,"What is your present religion, if any?",Protestant,0.4,75,23,alabama
4,"What is your present religion, if any?",Catholic,0.07,59,40,alabama
4,"What is your present religion, if any?",Mormon,0.01,,,alabama
4,"What is your present religion, if any?",Other Christian,0.26,63,35,alabama
4,"What is your present religion, if any?",Jewish,0.01,,,alabama
4,"What is your present religion, if any?",Muslim,0,,,alabama
4,"What is your present religion, if any?",Something else,0.11,43,56,alabama
4,"What is your present religion, if any?",None,0.13,38,60,alabama
5,"Do you consider yourself to be gay, lesbian, bisexual or transgender?",Yes,0.09,,,alabama
5,"Do you consider yourself to be gay, lesbian, bisexual or transgender?",No,0.91,64,35,alabama
6,Are you:,Single or never married,0.21,,,alabama
6,Are you:,Married,0.52,68,31,alabama
6,Are you:,Separated,0.03,,,alabama
6,Are you:,Divorced,0.16,,,alabama
6,Are you:,Widowed,0.08,,,alabama
7,What was your total household income in 2019?,"Under $25,000",0.21,51,48,alabama
7,What was your total household income in 2019?,"$25,000-$49,999",0.27,63,36,alabama
7,What was your total household income in 2019?,"$50,000-$74,999",0.18,66,33,alabama
7,What was your total household income in 2019?,"$75,000-$99,999",0.14,68,30,alabama
7,What was your total household income in 2019?,"$100,000 or more",0.19,66,32,alabama
8,"Have you, or has any member of your household, ever served in the U.S. military?","Veteran, self",0.13,,,alabama
8,"Have you, or has any member of your household, ever served in the U.S. military?",Veteran in household,0.19,,,alabama
8,"Have you, or has any member of your household, ever served in the U.S. military?",No,0.68,62,36,alabama
9,Which of the following best describes the area where you live?,Urban,0.13,40,59,alabama
9,Which of the following best describes the area where you live?,Suburban,0.32,55,42,alabama
9,Which of the following best describes the area where you live?,Small town,0.26,64,34,alabama
9,Which of the following best describes the area where you live?,Rural,0.3,77,23,alabama
10,When did you vote?,Election Day,0.83,67,31,alabama
10,When did you vote?,Early or absentee,0.17,37,62,alabama
11,Which type of vote did you cast?,Election Day,0.83,67,31,alabama
11,Which type of vote did you cast?,Early in-person,0,,,alabama
11,Which type of vote did you cast?,Mail,0.17,37,62,alabama
11,Which type of vote did you cast?,First time voting,0.02,,,alabama
12,"Is this election your first time ever voting, or not?",Not,0.98,62,36,alabama
13,"Do you consider yourself a Democrat, a Republican, or do you not consider yourself either? Do you lean toward either party?",Democrat or lean Democrat,0.33,3,96,alabama
13,"Do you consider yourself a Democrat, a Republican, or do you not consider yourself either? Do you lean toward either party?",Republican or lean Republican,0.63,94,4,alabama
13,"Do you consider yourself a Democrat, a Republican, or do you not consider yourself either? Do you lean toward either party?",Independent,0.04,40,54,alabama
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Very liberal,0.08,9,90,alabama
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Somewhat liberal,0.12,16,82,alabama
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Moderate,0.28,42,55,alabama
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Somewhat conservative,0.23,86,11,alabama
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Very conservative,0.28,97,3,alabama
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Hillary Clinton,0.27,2,97,alabama
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Donald Trump,0.53,96,3,alabama
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Someone else,0.04,30,54,alabama
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Did not vote,0.16,57,41,alabama
16,Have you or someone in your household lost a job or income because of the coronavirus pandemic?,Yes,0.33,54,42,alabama
16,Have you or someone in your household lost a job or income because of the coronavirus pandemic?,No,0.67,64,34,alabama
17,"Have you missed out on a major event, like a wedding or funeral, because of the coronavirus pandemic?",Yes,0.48,61,36,alabama
17,"Have you missed out on a major event, like a wedding or funeral, because of the coronavirus pandemic?",No,0.52,60,38,alabama
18,Do you have a close friend or family member who has died from the coronavirus?,Yes,0.29,52,46,alabama
18,Do you have a close friend or family member who has died from the coronavirus?,No,0.71,65,33,alabama
19,Which best describes when you decided how you would vote?,I have known all along,0.79,66,34,alabama
19,Which best describes when you decided how you would vote?,I decided over the course of the campaign,0.15,,,alabama
19,Which best describes when you decided how you would vote?,I decided in the last few days or still haven’t decided,0.05,,,alabama
20,"Generally speaking, would you say things in this country are heading in the:",Right direction,0.52,93,6,alabama
20,"Generally speaking, would you say things in this country are heading in the:",Wrong direction,0.48,27,70,alabama
21,Which one of the following would you say is the most important issue facing the country?,The economy and jobs,0.32,89,9,alabama
21,Which one of the following would you say is the most important issue facing the country?,Health care,0.09,46,54,alabama
21,Which one of the following would you say is the most important issue facing the country?,Immigration,0.05,,,alabama
21,Which one of the following would you say is the most important issue facing the country?,Abortion,0.03,,,alabama
21,Which one of the following would you say is the most important issue facing the country?,Law enforcement,0.05,,,alabama
21,Which one of the following would you say is the most important issue facing the country?,Climate change,0.01,,,alabama
21,Which one of the following would you say is the most important issue facing the country?,Foreign policy,0.01,,,alabama
21,Which one of the following would you say is the most important issue facing the country?,The coronavirus pandemic,0.33,40,58,alabama
21,Which one of the following would you say is the most important issue facing the country?,Racism,0.1,29,68,alabama
22,Do you think the condition of the nation’s economy is:,Excellent or good,0.55,88,10,alabama
22,Do you think the condition of the nation’s economy is:,Not so good or poor,0.45,29,69,alabama
23,Do you think the coronavirus in the United States is:,At least somewhat under control,0.6,87,12,alabama
23,Do you think the coronavirus in the United States is:,Not at all under control,0.4,24,74,alabama
24,Which should be the federal government’s higher priority:,"Limiting the spread of the coronavirus, even if it damages the economy",0.48,30,68,alabama
24,Which should be the federal government’s higher priority:,"Limiting additional damage to the economy, even if it increases the spread of the coronavirus",0.5,90,7,alabama
25,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Strongly or somewhat favor,0.76,51,46,alabama
25,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Strongly or somewhat oppose,0.23,94,4,alabama
26,How serious a problem is racism in U.S. society?,Very or somewhat serious,0.7,48,50,alabama
26,How serious a problem is racism in U.S. society?,Not too or not at all serious,0.3,94,5,alabama
27,How serious a problem is racism in policing?,Very or somewhat serious,0.62,44,54,alabama
27,How serious a problem is racism in policing?,Not too or not at all serious,0.35,94,5,alabama
28,"Thinking about the criminal justice system in the United States, would you say it:",Needs a complete overhaul or major changes,0.63,47,52,alabama
28,"Thinking about the criminal justice system in the United States, would you say it:",Needs minor changes or no changes,0.37,82,16,alabama
29,Do you favor or oppose building a wall along the U.S.-Mexico border?,Strongly or somewhat favor,0.63,91,8,alabama
29,Do you favor or oppose building a wall along the U.S.-Mexico border?,Strongly or somewhat oppose,0.36,9,88,alabama
30,Which comes closest to your opinion on abortion? Abortion should be:,Legal in all or most cases,0.39,24,74,alabama
30,Which comes closest to your opinion on abortion? Abortion should be:,Illegal in all or most cases,0.59,84,16,alabama
31,"In general, how concerned are you about the effects of climate change?",Very or somewhat concerned,0.62,46,53,alabama
31,"In general, how concerned are you about the effects of climate change?",Not too or not at all concerned,0.38,93,4,alabama
32,Should gun laws in the U.S. be made:,More strict,0.41,29,69,alabama
32,Should gun laws in the U.S. be made:,Less strict,0.15,,,alabama
32,Should gun laws in the U.S. be made:,Kept as they are,0.44,91,7,alabama
33,Do you favor or oppose increasing federal government spending on green and renewable energy?,Strongly or somewhat favor,0.57,41,57,alabama
33,Do you favor or oppose increasing federal government spending on green and renewable energy?,Strongly or somewhat oppose,0.42,88,10,alabama
34,Do you favor or oppose increasing taxes on goods imported to the U.S. from other countries?,Strongly or somewhat favor,0.63,75,24,alabama
34,Do you favor or oppose increasing taxes on goods imported to the U.S. from other countries?,Strongly or somewhat oppose,0.36,37,59,alabama
35,Do you favor or oppose reducing government regulation of business?,Strongly or somewhat favor,0.68,74,23,alabama
35,Do you favor or oppose reducing government regulation of business?,Strongly or somewhat oppose,0.3,30,68,alabama
36,"Which of the following comes closest to what you would like to see lawmakers do with the Affordable Care Act, also known as Obamacare?",Repeal the law entirely or in part,0.59,91,7,alabama
36,"Which of the following comes closest to what you would like to see lawmakers do with the Affordable Care Act, also known as Obamacare?",Leave as is or expand,0.4,17,80,alabama
37,Do you favor or oppose changing the health care system so that any American can buy into a government-run health care plan if they want to?,Strongly or somewhat favor,0.61,51,47,alabama
37,Do you favor or oppose changing the health care system so that any American can buy into a government-run health care plan if they want to?,Strongly or somewhat oppose,0.38,77,19,alabama
38,"Thinking about the presidential election in the U.S., how confident are you that votes will be counted accurately?",Very or somewhat confident,0.59,54,45,alabama
38,"Thinking about the presidential election in the U.S., how confident are you that votes will be counted accurately?",Not too or not at all confident,0.41,74,25,alabama
39,"Thinking about the presidential election in the U.S., how confident are you that people who are eligible will be allowed to vote?",Very or somewhat confident,0.85,65,33,alabama
39,"Thinking about the presidential election in the U.S., how confident are you that people who are eligible will be allowed to vote?",Not too or not at all confident,0.14,41,58,alabama
40,"In deciding how to vote for U.S. Senator, how important was it to you which party controls the Senate?",A factor,0.97,63,36,alabama
40,"In deciding how to vote for U.S. Senator, how important was it to you which party controls the Senate?",Not a factor,0.03,,,alabama
41,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",A factor,0.9,60,38,alabama
41,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",Not a factor,0.09,79,18,alabama
42,"Thinking about voting in this presidential election, how important to you were protests over police violence?",A factor,0.9,60,39,alabama
42,"Thinking about voting in this presidential election, how important to you were protests over police violence?",Not a factor,0.08,87,11,alabama
43,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",A factor,0.93,60,38,alabama
43,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",Not a factor,0.06,89,7,alabama
44,Do you have a favorable or unfavorable opinion of the Democratic Party?,Favorable,0.34,13,86,alabama
44,Do you have a favorable or unfavorable opinion of the Democratic Party?,Unfavorable,0.64,91,8,alabama
44,Do you have a favorable or unfavorable opinion of the Democratic Party?,Do not know enough to say,0.02,,,alabama
45,Do you have a favorable or unfavorable opinion of the Republican Party?,Favorable,0.63,93,6,alabama
45,Do you have a favorable or unfavorable opinion of the Republican Party?,Unfavorable,0.35,12,84,alabama
45,Do you have a favorable or unfavorable opinion of the Republican Party?,Do not know enough to say,0.02,,,alabama
46,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Approve,0.64,96,4,alabama
46,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Disapprove,0.36,4,93,alabama
47,Do you have a favorable or unfavorable opinion of Donald Trump?,Favorable,0.64,95,5,alabama
47,Do you have a favorable or unfavorable opinion of Donald Trump?,Unfavorable,0.34,5,92,alabama
47,Do you have a favorable or unfavorable opinion of Donald Trump?,Do not know enough to say,0.02,,,alabama
48,Do you have a favorable or unfavorable opinion of Mike Pence?,Favorable,0.62,92,7,alabama
48,Do you have a favorable or unfavorable opinion of Mike Pence?,Unfavorable,0.32,9,90,alabama
48,Do you have a favorable or unfavorable opinion of Mike Pence?,Do not know enough to say,0.06,,,alabama
49,Do you have a favorable or unfavorable opinion of Joe Biden?,Favorable,0.33,8,91,alabama
49,Do you have a favorable or unfavorable opinion of Joe Biden?,Unfavorable,0.66,92,7,alabama
49,Do you have a favorable or unfavorable opinion of Joe Biden?,Do not know enough to say,0.01,,,alabama
50,Do you have a favorable or unfavorable opinion of Kamala Harris?,Favorable,0.32,11,89,alabama
