question,choices,pct_voters,Trump,Biden,state,q_id,abbrev,votes,lat,lon
"Do you describe yourself as a man, a woman, or in some other way?",Men,0.46,66,32,alabama,1,AL,9,32.7794,-86.8287
"Do you describe yourself as a man, a woman, or in some other way?",Women,0.53,59,40,alabama,1,AL,9,32.7794,-86.8287
"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0.01,,,alabama,1,AL,9,32.7794,-86.8287
What is your age?,18-29,0.12,52,45,alabama,2,AL,9,32.7794,-86.8287
What is your age?,30-44,0.21,57,40,alabama,2,AL,9,32.7794,-86.8287
What is your age?,45-64,0.38,63,36,alabama,2,AL,9,32.7794,-86.8287
What is your age?,65+,0.29,69,30,alabama,2,AL,9,32.7794,-86.8287
Which best describes your level of education?,High school or less,0.33,66,33,alabama,3,AL,9,32.7794,-86.8287
Which best describes your level of education?,"Some college, or associate degree",0.36,63,36,alabama,3,AL,9,32.7794,-86.8287
Which best describes your level of education?,College graduate,0.2,58,39,alabama,3,AL,9,32.7794,-86.8287
Which best describes your level of education?,Postgraduate study,0.11,53,44,alabama,3,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Protestant,0.4,75,23,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Catholic,0.07,59,40,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Mormon,0.01,,,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Other Christian,0.26,63,35,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Jewish,0.01,,,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Muslim,0,,,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",Something else,0.11,43,56,alabama,4,AL,9,32.7794,-86.8287
"What is your present religion, if any?",None,0.13,38,60,alabama,4,AL,9,32.7794,-86.8287
What was your total household income in 2019?,"Under $25,000",0.21,51,48,alabama,6,AL,9,32.7794,-86.8287
What was your total household income in 2019?,"$25,000-$49,999",0.27,63,36,alabama,6,AL,9,32.7794,-86.8287
What was your total household income in 2019?,"$50,000-$74,999",0.18,66,33,alabama,6,AL,9,32.7794,-86.8287
What was your total household income in 2019?,"$75,000-$99,999",0.14,68,30,alabama,6,AL,9,32.7794,-86.8287
What was your total household income in 2019?,"$100,000 or more",0.19,66,32,alabama,6,AL,9,32.7794,-86.8287
When did you vote?,Election Day,0.83,67,31,alabama,7,AL,9,32.7794,-86.8287
When did you vote?,Early or absentee,0.17,37,62,alabama,7,AL,9,32.7794,-86.8287
